message,read
[ 2020-4-17 9:16:58 ] : Account successfully created,Y
[ 2020-4-17 9:17:50 ] : You are logged in,Y
"[ 2020-4-17 9:18:52 ] : $1200.0 credited to your account, received from pritam",Y
[ 2020-4-17 9:18:57 ] : $1300.0 debited from your account and credited to ashok,Y
[ 2020-4-17 9:19:20 ] : Starting system recovery,Y
[ 2020-4-17 9:19:21 ] : $1200.0 recovered from your account and credited to pritam [ SYSTEM RECOVERY ],Y
"[ 2020-4-17 9:19:21 ] : $1300.0 credited to your account, recovered from ashok [ SYSTEM RECOVERY ]",Y
[ 2020-4-17 9:19:21 ] : System back to normal,Y
[ 2020-4-17 9:19:44 ] : You are logged out,Y
[ 2020-4-17 9:20:19 ] : You are logged in,Y
[ 2020-4-17 9:20:25 ] : You are logged out,Y
