message,read
[ 2020-4-16 16:55:15 ] : Account successfully created,Y
"[ 2020-4-16 16:55:42 ] : $12000.0 credited to your account, received from ashok",Y
[ 2020-4-16 16:57:37 ] : Deamon process detected ! Processes - ['ashok'],Y
[ 2020-4-16 16:57:37 ] : Starting system recovery,Y
[ 2020-4-16 16:57:37 ] : System back to normal,Y
[ 2020-4-16 16:58:42 ] : You are logged in,Y
[ 2020-4-16 16:59:34 ] : $12.0 debited from your account and credited to pritam,Y
"[ 2020-4-16 16:59:34 ] : $12.0 credited to your account, received from pritam",Y
[ 2020-4-16 16:59:35 ] : Deamon process detected ! Processes - ['pritam'],Y
[ 2020-4-16 16:59:35 ] : Starting system recovery,Y
[ 2020-4-16 16:59:35 ] : System back to normal,Y
"[ 2020-4-16 17:1:25 ] : $200.0 credited to your account, received from ashok",Y
[ 2020-4-16 17:1:32 ] : Deamon process detected ! Processes - ['ashok'],Y
[ 2020-4-16 17:1:32 ] : Starting system recovery,Y
[ 2020-4-16 17:1:32 ] : System back to normal,Y
[ 2020-4-16 17:2:2 ] : You are logged in,Y
[ 2020-4-16 17:5:26 ] : You are logged out,Y
"[ 2020-4-16 17:6:29 ] : $200.0 credited to your account, received from ashok",Y
[ 2020-4-16 17:6:37 ] : Deamon process detected ! Processes - ['ashok'],Y
[ 2020-4-16 17:6:37 ] : Starting system recovery,Y
[ 2020-4-16 17:7:52 ] : Deamon process detected ! Processes - ['ashok'],Y
[ 2020-4-16 17:7:52 ] : Starting system recovery,Y
[ 2020-4-16 17:9:4 ] : Deamon process detected ! Processes - ['ashok'],Y
[ 2020-4-16 17:9:4 ] : Starting system recovery,Y
[ 2020-4-16 17:9:4 ] : $200.0 debited from your account and credited to ashok [ SYSTEM RECOVERY ],Y
[ 2020-4-16 17:9:4 ] : System back to normal,Y
"[ 2020-4-16 17:10:11 ] : $9000.0 credited to your account, received from ashok",Y
[ 2020-4-16 17:10:19 ] : Deamon process detected ! Processes - ['ashok'],Y
[ 2020-4-16 17:10:19 ] : Starting system recovery,Y
[ 2020-4-16 17:10:19 ] : $9000.0 debited from your account and credited to ashok [ SYSTEM RECOVERY ],Y
[ 2020-4-16 17:10:19 ] : System back to normal,Y
[ 2020-4-16 17:10:55 ] : You are logged in,Y
[ 2020-4-16 17:11:7 ] : You are logged out,Y
