message,read
[ 2020-4-27 18:46:10 ] : Account successfully created,Y
[ 2020-4-27 18:46:37 ] : You are logged in,Y
"[ 2020-4-27 18:47:1 ] : $10200.0 credited to your account, received from pritam",Y
[ 2020-4-27 18:47:52 ] : $9800.0 debited from your account and credited to rohan,Y
[ 2020-4-27 18:50:2 ] : $1000.0 debited from your account and credited to rohan,Y
"[ 2020-4-27 18:50:11 ] : $3000.0 credited to your account, received from pritam",N
[ 2020-4-27 18:50:44 ] : Deamon process detected ! Processes - ['satyam'],N
[ 2020-4-27 18:50:44 ] : Starting system recovery,N
[ 2020-4-27 18:50:44 ] : $3000.0 recovered from your account and credited to pritam [ SYSTEM RECOVERY ],N
"[ 2020-4-27 18:50:44 ] : $1000.0 credited to your account, recovered from rohan [ SYSTEM RECOVERY ]",N
[ 2020-4-27 18:50:44 ] : System back to normal,N
