'''
Sample Input (On 50 Nodes, fully connected graph) ::
Edges(from_node, to_node, cost):
Input created by the following code:
------------------------------------
import random

for i in range(1, 50):
	for j in range(i+1, 51):
		print(i, j, random.randint(10, 50))
------------------------------------
i 	 : from_node
j    : to_node
cost : random number between [10, 50]
'''


1 2 47
1 3 13
1 4 50
1 5 38
1 6 41
1 7 30
1 8 11
1 9 26
1 10 17
1 11 25
1 12 14
1 13 41
1 14 50
1 15 11
1 16 30
1 17 15
1 18 24
1 19 49
1 20 44
1 21 49
1 22 34
1 23 27
1 24 39
1 25 27
1 26 13
1 27 20
1 28 35
1 29 42
1 30 33
1 31 14
1 32 36
1 33 17
1 34 40
1 35 38
1 36 47
1 37 41
1 38 25
1 39 23
1 40 29
1 41 19
1 42 48
1 43 21
1 44 24
1 45 47
1 46 19
1 47 32
1 48 48
1 49 25
1 50 39
2 3 29
2 4 31
2 5 38
2 6 49
2 7 43
2 8 22
2 9 34
2 10 31
2 11 46
2 12 44
2 13 35
2 14 46
2 15 43
2 16 19
2 17 33
2 18 22
2 19 14
2 20 31
2 21 31
2 22 33
2 23 31
2 24 14
2 25 36
2 26 45
2 27 47
2 28 46
2 29 44
2 30 25
2 31 31
2 32 13
2 33 23
2 34 18
2 35 48
2 36 22
2 37 23
2 38 36
2 39 44
2 40 25
2 41 41
2 42 28
2 43 18
2 44 48
2 45 26
2 46 44
2 47 46
2 48 37
2 49 13
2 50 43
3 4 25
3 5 29
3 6 13
3 7 36
3 8 49
3 9 14
3 10 35
3 11 34
3 12 50
3 13 42
3 14 15
3 15 32
3 16 15
3 17 35
3 18 29
3 19 40
3 20 31
3 21 26
3 22 10
3 23 22
3 24 35
3 25 26
3 26 31
3 27 42
3 28 12
3 29 37
3 30 35
3 31 44
3 32 18
3 33 41
3 34 38
3 35 28
3 36 12
3 37 27
3 38 45
3 39 28
3 40 23
3 41 27
3 42 17
3 43 27
3 44 31
3 45 29
3 46 38
3 47 50
3 48 42
3 49 37
3 50 50
4 5 32
4 6 21
4 7 31
4 8 20
4 9 16
4 10 46
4 11 32
4 12 50
4 13 25
4 14 43
4 15 42
4 16 46
4 17 37
4 18 12
4 19 39
4 20 10
4 21 11
4 22 11
4 23 50
4 24 23
4 25 18
4 26 27
4 27 50
4 28 33
4 29 11
4 30 25
4 31 33
4 32 23
